#     lmwl      nmBband
#
  3.785949   1.000000 
  3.786004   1.000000 
  3.786060   1.000000 
  3.786115   1.000000 
  3.786170   1.000000 
  3.786226   1.000000 
  3.786281   1.000000 
  3.786336   1.000000 
  3.786391   1.000000 
  3.786447   1.000000 
  3.786503   1.000000 
  3.786558   1.000000 
  3.786614   1.000000 
  3.786669   1.000000 
  3.786724   1.000000 
  3.786780   1.000000 
  3.786835   1.000000 
  3.786890   1.000000 
  3.786946   1.000000 
  3.787001   1.000000 
  3.787057   1.000000 
  3.787112   1.000000 
  3.787167   1.000000 
  3.787223   1.000000 
  3.787279   1.000000 
  3.787334   1.000000 
  3.787389   1.000000 
  3.787445   1.000000 
  3.787500   1.000000 
  3.787555   1.000000 
  3.787611   1.000000 
  3.787666   1.000000 
  3.787722   1.000000 
  3.787777   1.000000 
  3.787832   1.000000 
  3.787888   1.000000 
  3.787943   1.000000 
  3.787999   1.000000 
  3.788054   1.000000 
  3.788109   1.000000 
  3.788165   1.000000 
  3.788220   1.000000 
  3.788276   1.000000 
  3.788331   1.000000 
  3.788386   1.000000 
  3.788442   1.000000 
  3.788497   1.000000 
  3.788553   1.000000 
  3.788608   1.000000 
  3.788664   1.000000 
  3.788719   1.000000 
  3.788774   1.000000 
  3.788830   1.000000 
  3.788885   1.000000 
  3.788941   1.000000 
  3.788996   1.000000 
  3.789052   1.000000 
  3.789107   1.000000 
  3.789162   1.000000 
  3.789218   1.000000 
  3.789273   1.000000 
  3.789329   1.000000 
  3.789384   1.000000 
  3.789439   1.000000 
  3.789495   1.000000 
  3.789550   1.000000 
  3.789606   1.000000 
  3.789661   1.000000 
  3.789716   1.000000 
  3.789772   1.000000 
  3.789827   1.000000 
  3.789882   1.000000 
  3.789938   1.000000 
  3.789993   1.000000 
  3.790049   1.000000 
  3.790104   1.000000 
  3.790160   1.000000 
  3.790215   1.000000 
  3.790271   1.000000 
  3.790326   1.000000 
  3.790381   1.000000 
  3.790437   1.000000 
  3.790492   1.000000 
  3.790547   1.000000 
  3.790603   1.000000 
  3.790658   1.000000 
  3.790714   1.000000 
  3.790769   1.000000 
  3.790824   1.000000 
  3.790880   1.000000 
  3.790935   1.000000 
  3.790991   1.000000 
  3.791046   1.000000 
  3.791101   1.000000 
  3.791157   1.000000 
  3.791212   1.000000 
  3.791268   1.000000 
  3.791323   1.000000 
  3.791378   1.000000 
  3.791434   1.000000 
  3.791489   1.000000 
  3.791545   1.000000 
  3.791600   1.000000 
  3.791656   1.000000 
  3.791711   1.000000 
  3.791766   1.000000 
  3.791821   1.000000 
  3.791877   1.000000 
  3.791933   1.000000 
